Date,Strategy_Value,Benchmark_Value
2022-08-11,1.4044,1.1681452432161008
2022-08-12,1.4012,1.1647881963492188
2022-08-15,1.3972,1.1687712246284057
2022-08-16,1.4003,1.1728306252884373
2022-08-17,1.4001,1.1779677291316553
2022-08-18,1.4067,1.1734871375123719
2022-08-19,1.3974,1.159502520107161
2022-08-22,1.4086,1.1741899629639305
2022-08-23,1.4174,1.1730515609716452
2022-08-24,1.3703,1.140066746921159
2022-08-25,1.3677,1.1469818396999962
2022-08-26,1.3621,1.1425696204093123
2022-08-29,1.3746,1.1447516029129623
2022-08-30,1.3649,1.140311719042519
2022-08-31,1.318,1.1166958187844855
2022-09-01,1.3129,1.1114391858159982
2022-09-02,1.3352,1.1155496525691597
2022-09-05,1.3382,1.1215758506540814
2022-09-06,1.3519,1.141335471759997
2022-09-07,1.3568,1.1431483996992997
2022-09-08,1.3408,1.1378895535644316
2022-09-09,1.3367,1.1459435199939627
2022-09-13,1.3371,1.142941160250661
2022-09-14,1.324,1.133787540381216
2022-09-15,1.2918,1.1079975125461137
2022-09-16,1.2599,1.080189131393874
2022-09-19,1.2397,1.072687150428556
2022-09-20,1.2593,1.080876392117935
2022-09-21,1.269,1.0845569240905701
2022-09-22,1.2673,1.0822538523607592
2022-09-23,1.2391,1.068415485343759
2022-09-26,1.2101,1.0533072143418987
2022-09-27,1.2391,1.0739395486301588
2022-09-28,1.2036,1.0466317421755498
2022-09-29,1.1974,1.047060116855185
2022-09-30,1.1858,1.0365714678590192
2022-10-10,1.1644,1.0223578602962304
2022-10-11,1.1771,1.0312096913467372
2022-10-12,1.2143,1.0558715122674724
2022-10-13,1.2349,1.0576641407544793
2022-10-14,1.2635,1.083624110742492
2022-10-17,1.2991,1.0912717615933638
2022-10-18,1.3012,1.0949139441092042
2022-10-19,1.2998,1.083494168850808
2022-10-20,1.2992,1.0791657052091406
2022-10-21,1.3033,1.0806204085867952
2022-10-24,1.2943,1.0697399747191094
2022-10-25,1.2975,1.0648198337440389
2022-10-26,1.3197,1.0832906845287336
2022-10-27,1.3128,1.0817310915771967
2022-10-28,1.2672,1.0488589494643412
2022-10-31,1.295,1.0534501994026628
2022-11-01,1.3213,1.0777657867697639
2022-11-02,1.3343,1.0880440761155084
2022-11-03,1.3322,1.0878472312925762
2022-11-04,1.3471,1.1126535973749672
2022-11-07,1.3554,1.114095039895045
2022-11-08,1.3555,1.1127975438932571
2022-11-09,1.3532,1.110361645899184
2022-11-10,1.3465,1.1047138085618338
2022-11-11,1.3482,1.1135893313770395
2022-11-14,1.3498,1.1119370394074228
2022-11-15,1.3718,1.1313241773551719
2022-11-16,1.3746,1.1254345425203685
2022-11-17,1.381,1.1278450435231868
2022-11-18,1.3722,1.1232087320660962
2022-11-21,1.3681,1.1228570744407582
2022-11-22,1.3601,1.1111909120857753
2022-11-23,1.3561,1.1094140297333461
2022-11-24,1.3587,1.1102232867189699
2022-11-25,1.3562,1.1043807451622358
2022-11-28,1.3492,1.0984714457999183
2022-11-29,1.3709,1.1181608442250144
2022-11-30,1.3705,1.1167685630237223
2022-12-01,1.3773,1.1222027209610803
2022-12-02,1.3847,1.1189211757210569
2022-12-05,1.3955,1.1274675716703093
2022-12-06,1.3951,1.1267650001886633
2022-12-07,1.3975,1.1254504519213187
2022-12-08,1.3963,1.122235628205463
2022-12-09,1.3937,1.1233272271710075
2022-12-12,1.3847,1.1165259673351153
2022-12-13,1.3879,1.1105127398564418
2022-12-14,1.3901,1.1059275126331891
2022-12-15,1.3833,1.1069239998664844
2022-12-16,1.3815,1.1016602920218617
2022-12-19,1.3559,1.0769186157043384
2022-12-20,1.3473,1.0663165147200961
2022-12-21,1.346,1.0604758597969983
2022-12-22,1.3361,1.0483615856720334
2022-12-23,1.3327,1.0455117348612164
2022-12-26,1.3409,1.0600079202331298
2022-12-27,1.3512,1.0677007958691431
2022-12-28,1.34,1.063425847316191
2022-12-29,1.3379,1.0625742136365879
2022-12-30,1.3467,1.0638558183781337
2023-01-03,1.3738,1.0804418677382746
